index;A 10 semestres;A 9 semestres;Rennglón Malla;Código;Nombre;Créditos;Área;Teórico;Teórico-práctico;Práctico;Nivelatorio;Horas Trabajo Directo;Horas Trabajo Colaborativo;Horas Trabajo Autónomo;Obligatorio;Básico;Complementario;Electivo;Intríseco;Extrínseco;Obligatorio Básico;Obligatorio Complementario;Electivo Intrínseco;Electivo Extrínseco;Ciencias Básicas;Básicas de Ingeniería;Ingeniería Aplicada;Complementarias
1;1;1;1;4;Cátedra Francisco José de Caldas;1;Humanidades;X;;;;2;0;1;X;;X;;;; ;1;;;;;;X
2;1;1;2;1;Cálculo Diferencial;3;Matemáticas;X;;;;4;2;3;X;X;;;;;3;;;;X;;;
3;1;1;3;9;Álgebra Lineal;3;Matemáticas;X;;;;4;2;3;X;X;;;;;3;;;;X;;;
4;1;1;4;3;Física Newtoniana;3;Física;;X;;;4;2;3;X;X;;;;;3;;;;X;;;
5;1;1;5;0;Pre-cálculo;0;Matemáticas;X;;;X;2;2;2;X;;X;;;;0;;;;;;;X
6;1;1;7;2;Programación Básica;3;Programación;;X;;;2;4;3;X;X;;;;;3;;;;X;;;
7;1;1;9;5;Producción y Comprensión de Textos;0;Idiomas;X;;;X;2;2;2;X;;X;;;;0;;;;;;;X
8;1;1;10;6;Seminario de Introducción a la Ingeniería;1;Humanidades;X;;;;2;0;1;X;;X;;;;;1;;;;;;X
9;2;2;1;12;Cátedra Democracia y Ciudadanía;1;Humanidades;X;;;;2;0;1;X;;X;;;;;1;;;;;;X
10;2;2;2;7;Cálculo Integral;3;Matemáticas;X;;;;4;2;3;X;X;;;;;3;;;;X;;;
11;2;2;4;13;Electromagnetismo;3;Física;;X;;;4;2;3;X;X;;;;;3;;;;X;;;
12;2;2;5;14;Análisis de Circuitos I y Laboratorio;3;Potencia Y Circuitos;;X;;;4;2;3;X;X;;;;;3;;;;;X;;
13;2;2;7;10;Programación Orientada a Objetos;3;Programación;;X;;;2;4;3;X;X;;;;;3;;;;X;;;
14;2;2;8;EE1;Electiva Extrínseca I;2;Electiva;;X;;;4;0;2;;;;X;;X;;;;2;;;;X
15;2;2;9;9900-I;Segunda Lengua I;0;Idiomas;X;;;X;2;2;2;X;;X;;;;0;;;;;;;X
16;3;3;2;88;Ecuaciones Diferenciales;3;Matemáticas;X;;;;4;2;3;X;X;;;;;3;;;;X;;;
17;3;3;3;16;Cálculo Multivariable;3;Matemáticas;X;;;;4;2;3;X;X;;;;;3;;;;X;;;
18;3;3;5;17;Análisis de Circuitos II y Laboratorio;3;Potencia Y Circuitos;;X;;;4;2;3;X;X;;;;;3;;;;;X;;
19;3;3;6;91;Electrónica I;3;Electrónica;;X;;;4;2;3;X;X;;;;;3;;;;;X;;
20;3;3;7;26;Programación Aplicada;3;Programación;;X;;;4;2;3;X;X;;;;;3;;;;;;X;
21;4;4;2;24;Variable Compleja;2;Matemáticas;X;;;;2;2;2;X;X;;;;;2;;;;X;;;
22;4;4;3;23;Probabilidades y Estadística;2;Matemáticas;X;;;;2;2;2;X;X;;;;;2;;;;X;;;
23;4;3;4;20T;Oscilaciones y Ondas;3;Física;;X;;;4;2;3;X;X;;;;;3;;;;X;;;
24;4;4;6;25;Electrónica II;3;Electrónica;;X;;;4;2;3;X;X;;;;;3;;;;;X;;
25;4;4;7;28;Fundamentos de Circuitos Digitales;3;Digitales;;X;;;4;2;3;X;X;;;;;3;;;;;X;;
26;4;4;8;EE2;Electiva Extrínseca II;2;Electiva;;X;;;4;0;2;;;;X;;X;;;;2;;;;X
27;4;4;9;9900-II;Segunda Lengua II;0;Idiomas;X;;;X;2;2;2;X;;X;;;;0;;;;;;;X
28;5;5;1;47;Economía;2;Economía;X;;;;2;2;2;X;X;;;;;;2;;;;;;X
29;5;5;3;38;Señales y Sistemas;3;Automática;;X;;;4;2;3;X;X;;;;;3;;;;;X;;
30;5;4;4;27;Campos Electromagnéticos;2;Física;X;;;;3;1;2;X;X;;;;;2;;;;X;;;
31;5;4;5;31;Transformadores;3;Potencia Y Circuitos;;X;;;4;2;3;X;X;;;;;3;;;;;X;;
32;5;5;6;32;Electrónica III;3;Electrónica;;X;;;4;2;3;X;X;;;;;3;;;;;X;;
33;5;5;7;33;Análisis y Diseño de Microprocesadores;3;Digitales;;X;;;4;2;3;X;X;;;;;3;;;;;X;;
34;6;6;1;53;Ingeniería Económica;2;Economía;X;;;;2;2;2;X;X;;;;;;2;;;;;;X
35;6;6;3;44;Sistemas Dinámicos;2;Automática;X;;;;3;1;2;X;X;;;;;2;;;;;X;;
36;6;5;4;29;Ondas Electromagnéticas;2;Física;X;;;;3;1;2;X;X;;;;;2;;;;X;;;
37;6;5;5;36;Motores y Generadores;3;Potencia Y Circuitos;;X;;;4;2;3;X;X;;;;;3;;;;;X;;
38;6;6;6;35;Comunicaciones Analógicas;3;Telecomunicaciones;;X;;;4;2;3;X;X;;;;;3;;;;;X;;
39;6;6;7;37;Diseño Digital con Microcontroladores;3;Digitales;;X;;;4;2;3;X;X;;;;;3;;;;;X;;
40;7;7;1;55;Formulación y Evaluación de Proyectos;2;Economía;X;;;;2;2;2;X;X;;;;;;2;;;;;;X 
41;7;7;3;51;Instrumentación Industrial;3;Automática;;X;;;4;2;3;X;X;;;;;3;;;;;X;;
42;7;6;4;42;Física de Semiconductores;2;Física;X;;;;3;1;2;X;X;;;;;2;;;;X;;;
43;7;6;5;45;Electrónica de Potencia;3;Potencia Y Circuitos;;X;;;4;2;3;X;X;;;;;3;;;;;X;;
44;7;7;6;41;Comunicaciones Digitales;3;Telecomunicaciones;;X;;;4;2;3;X;X;;;;;3;;;;;X;;
45;7;7;10;17601;Metología de la investigación;2;Proyectos;;X;;;2;2;2;X;X;;;;;;2;;;;;;X 
46;8;7;3;50;Control I;3;Automática;;X;;;4;2;3;X;X;;;;;3;;;;;X;;
47;8;8;4;52;Bioingeniería I;2;Bioingeniería;X;;;;3;1;2;X;X;;;;;2;;;;;X;;
48;8;7;6;48;Telecomunicaciones I;3;Telecomunicaciones;;X;;;4;2;3;X;X;;;;;3;;;;;X;;
49;8;8;7;49;Telemática I;3;Telemática;;X;;;4;2;3;X;X;;;;;3;;;;;X;;
50;8;8;8;EE3;Electiva Extrínseca III;2;Electiva;;X;;;4;0;2;;;;X;;X;;;;2;;;;X
51;8;8;9;9900-III;Segunda Lengua III;0;Idiomas;X;;;X;2;2;2;X;;X;;;;0;;;;;;;X
52;8;8;10;19;Trabajo de Grado I;2;Proyectos;;X;;;0;0;6;X;X;;;;;2;;;;;;X;
53;9;9;1;18;Ética y Bioética;2;Humanidades;X;;;;2;2;2;X;;X;;;;;2;;;;;;X
54;9;8;3;67;Automatización Industrial;3;Automática;;X;;;4;2;3;X;X;;;;;3;;;;;;X;
55;9;8;8;EI09;Electivas Intrínsecas 6c;6;Electiva;;X;;;8;4;6;;;;X;X;;;;6;;;;;X
56;9;9;10;17602;Trabajo de Grado II;2;Proyectos;;X;;;0;0;6;X;X;;;;;2;;;;;;X;
57;10;9;6;54;Televisión;3;Telemática;;X;;;4;2;3;X;X;;;;;3;;;;;;X;
58;10;9;8;EI10;Electivas Intrínsecas 12c;12;Electiva;;X;;;16;8;12;;;;X;X;;;;12;;;;;X
